Code;Description;Detailed English Description;Detailed French Description
QA.23;PRODUITS PHYTOSANITAIRES INSECTICIDES ET A USAGE REPULSIF;Insecticides and repellents for plant protection from insects.;Produits insecticides ou répulsifs pour la protection contre les insectes ravageurs.
QA.24;AUTRES MOYENS DE PROTECTION OU DE CONSERVATION DES VEGETAUX;Other plant protection tools such as physical barriers or coatings.;Autres moyens de protection : filets, produits de conservation, films protecteurs.
QB;EXPERIMENTATION VEGETALE : EQUIPEMENTS, FOURNITURES ET CONSOMMABLES;Tools, machines, and consumables for plant research and agricultural experimentation.;Matériels, machines et consommables pour l’expérimentation végétale et agronomique.
QB.0;EXPERIMENTATION VEGETALE : PETITES FOURNITURES ET CONSOMMABLES;Small supplies used in plant experiments, both in the field and in greenhouses.;Fournitures et consommables divers utilisés en culture expérimentale végétale.
QB.01;EXPERIMENTATION VEGETALE : PETITES FOURNITURES ET CONSOMMABLES COURANTS;General-use supplies such as plant labels, gloves, ties, and bags.;Fournitures courantes : étiquettes, ficelles, gants, sachets, etc.
QB.02;EXPERIMENTATION VEGETALE : PETITES FOURNITURES ET CONSOMMABLES POUR SERRES;Consumables used in greenhouses (pots, trays, humidity domes).;Fournitures pour culture sous serre : godets, bacs, cloches, plaques alvéolées.
QB.03;PETITES FOURNITURES HORS SERRES POUR LA PROTECTION DES ESPACES CULTIVES;Field supplies like crop covers, anti-insect nets, or fencing materials.;Fournitures hors serre : filets, voiles, clôtures pour la protection des cultures.
QB.04;EXPERIMENTATION VEGETALE : AUTRES PETITES FOURNITURES ET CONSOMMABLES;Other small materials not categorized above.;Autres petits matériels et consommables spécifiques à l’expérimentation végétale.
QB.1;EXPERIMENTATION VEGETALE : SERRES ET EQUIPEMENTS DE SERRES;Greenhouse structures and climate-control equipment.;Serres et équipements associés pour culture contrôlée.
QB.11;EXPERIMENTATION VEGETALE : SERRES;Research greenhouses (standard, tunnel, or modular types).;Serres de recherche : tunnels, serres vitrées ou modulaires.
QB.12;MATERIEL ET ACCESSOIRES DESTINES A L'EXPERIMENTATION VEGETALE SOUS SERRE;Heating, ventilation, shading, and monitoring tools for greenhouse use.;Équipements de régulation climatique et d’expérimentation sous serre.
QB.2;EXPERIMENTATION VEGETALE : MACHINES ET EQUIPEMENTS AGRICOLES DE TRACTION, MANUTENTION ET TRAVAIL DES SOLS;Machinery for soil prep, transport, and field maintenance.;Machines agricoles pour traction, travail du sol et manutention.
QB.21;ENGINS DE TRACTION AGRICOLE;Tractors and self-propelled machines for experimental plots.;Tracteurs et engins motorisés pour travaux agricoles expérimentaux.
QB.22;ENGINS TRACTES ET EQUIPEMENTS DE MANUTENTION AGRICOLE;Towed implements and lifting equipment (trailers, loaders).;Outils tractés et équipements de manutention : remorques, chargeurs.
QB.23;EQUIPEMENTS TRACTES ET MACHINES AUTOMOTRICES POUR TRAVAIL DES SOLS;Ploughs, harrows, and rotavators for soil preparation.;Outils pour préparation du sol : charrues, herses, fraises rotatives.
QB.3;EXPERIMENTATION VEGETALE : EQUIPEMENTS AGRICOLES POUR SEMIS, IRRIGATION, FERTILISATION, PROTECTION, RECOLTE ET CONSERVATION DES CULTURES;Full range of machines for seeding, irrigation, crop care, and harvest.;Machines agricoles pour semis, arrosage, fertilisation, récolte et stockage.
QB.31;EQUIPEMENTS TRACTES ET MACHINES POUR LES SEMIS ET PLANTATIONS;Seeders, planters, and tools for crop establishment.;Semoirs, planteuses et machines d’implantation des cultures.
QB.32;EQUIPEMENTS D'IRRIGATION DES CULTURES;Irrigation systems (drip, sprinkler, pivot).;Systèmes d’irrigation : goutte-à-goutte, aspersion, rampes.
QB.33;EQUIPEMENTS DE MESURES HYDROMETRIQUES ET D'OPTIMISATION DE L'IRRIGATION;Sensors and controllers for water use optimization.;Capteurs hydrométriques, tensiomètres, sondes d’humidité.
QB.34;MATERIEL POUR LA FERTILIS., LA PROTECT. ET L'ENTRET. DES CULTURES;Sprayers, fertilizer spreaders, crop maintenance tools.;Pulvérisateurs, épandeurs, matériels d’entretien des cultures.
QB.35;MACHINES POUR LA RECOLTE DES FOURRAGES CONSERVES SECS;Balers and harvesters for dry forage like hay.;Presse à balles, faucheuses pour la récolte des fourrages secs.
QB.36;MACHINES POUR LA RECOLTE DES FOURRAGES VERTS DESTINES A L'ENSILAGE;Harvesting equipment for green forage and silage preparation.;Ensileuses, remorques autochargeuses pour récolte de fourrages verts.
QB.37;MACHINES POUR LA RECOLTE DES CEREALES, DU COLZA ET DES PROTEAGINEUX;Combine harvesters and attachments for cereals and oilseeds.;Moissonneuses-batteuses pour céréales, colza et légumineuses.
QB.38;MACHINES POUR LA RECOLTE DES TUBERCULES;Harvesters for potatoes, beets, and other underground crops.;Arracheuses pour pommes de terre, betteraves, tubercules.
QB.39;EQUIPEMENTS DE STOCKAGE ET DE CONSERVATION DES ALIMENTS CULTIVES;Silos, drying units, and storage bins for crops and seeds.;Silos, cellules, séchoirs pour stockage des produits agricoles.
QB.4;EXPERIMENTATION VEGETALE : EQUIPEMENTS ET MATERIEL DES CULTURES SPECIFIQUES;Tools for specific crops like vines, trees, or forest plots.;Matériels spécialisés pour cultures comme la vigne ou l’arboriculture.
QB.41;EQUIPEMENTS ET MATERIEL SPECIFIQUES POUR LA VITICULTURE EXPERIMENTALE;Experimental tools for vineyard management and research.;Équipements de viticulture expérimentale : mini-tracteurs, pulvérisateurs localisés.
QB.42;EQUIPEMENTS ET MATERIEL SPECIFIQUES POUR LA SYLVICULTURE ET L'ARBORICULTURE;Forestry and tree cultivation tools (seeders, augers, pruners).;Matériels pour sylviculture/arboriculture : tarières, sécateurs, planteuses.
QB.43;MATERIEL DE COUPE COMMUN A LA VITICULTURE, LA SYLVICULTURE ET L'ARBORICULTURE;Shared cutting tools like chainsaws and pruning shears.;Outils de coupe communs : tronçonneuses, ébrancheurs, sécateurs.
QB.5;EXPERIMENTATION VEGETALE : EQUIPEMENTS ET MATERIEL DESTINES A L'EXPERIMENTATION AGRONOMIQUE;Specialized equipment for agronomic field trials.;Matériel spécifique aux essais agronomiques en plein champ.
QB.51;MATERIEL DESTINE A L'EXPERIMENTATION AGRONOMIQUE;Tools for plot trials, sample collection, or data acquisition.;Matériel pour essais : parcelleurs, dispositifs d’échantillonnage, capteurs.
QC;EXPERIMENTATION VEGETALE : REPARATION ET MAINTENANCE DES EQUIPEMENTS;Maintenance and servicing of equipment used in plant experimentation.;Maintenance et réparation des équipements dédiés à l’expérimentation végétale.
QC.0;EXPERIMENTATION VEGETALE : MAINTENANCE ET REPARATION DES EQUIPEMENTS;Servicing of agricultural tools, greenhouses, and monitoring systems.;Entretien des serres, équipements de culture et systèmes de suivi.
QC.01;REPARATION ET MAINTENANCE DU MATERIEL D'EXPERIMENTATION VEGETALE;Repairs for machines, sensors, irrigation and greenhouse systems.;Réparation des matériels agricoles, capteurs, systèmes d’irrigation et serres expérimentales.
QD;EXPERIMENTATION VEGETALE : SERVICES SPECIALISES (HORS BIOLOGIE);Technical services supporting plant research outside of biology (e.g. soil, agronomy).;Services techniques pour l’expérimentation végétale hors biologie (sols, entretien, etc.).
QD.0;EXPERIMENTATION VEGETALE : SERVICES SPECIALISES (HORS BIOLOGIE);Expert services in agronomy, crop management, and data collection.;Prestations spécialisées en agronomie, suivi cultural ou analyse environnementale.
QD.01;EXPERIMENTATION VEGETALE : SERVICES D'EXPERTISE DES SOLS;Soil testing services: structure, nutrients, contamination, moisture.;Services d’analyse et de caractérisation des sols (structure, nutriments, pollution…).
QD.02;SERVICES D'EXPERTISE BOTANIQUE;Botanical identification or classification by experts.;Prestations d’expertise en botanique : reconnaissance, taxonomie, étude floristique.
QD.03;SERVICES D'ENTRETIEN DES SOLS ET DES CULTURES EXPERIMENTALES;Field maintenance services including weeding, irrigation, pruning.;Entretien des sols et cultures : désherbage, arrosage, taille, amendement.
QD.04;SERVICES DE RECOLTE ET DE CONDITIONNEMENT DES PRODUITS VEGETAUX;Harvesting and post-harvest processing services (drying, storage, packing).;Récolte et conditionnement des produits végétaux : séchage, tri, ensachage.
QD.05;AUTRES SERVICES CONNEXES AUX CULTURES EXPERIMENTALES;Other plant research services: plot installation, labeling, or sample logistics.;Autres services liés aux cultures expérimentales : mise en place de parcelles, étiquetage, logistique d’échantillons.
R;ATELIER - MECANIQUE - AUTOMATIQUE;Workshop tools and materials for mechanical and automated prototyping.;Atelier technique : matériaux, outillage, automatisation et mécanique.
RA;EQUIPEMENTS, FOURNITURES ET CONSOMMABLES D'ATELIER;Supplies and materials used for scientific and technical workshop activities.;Consommables et fournitures pour activités en atelier (usinage, fabrication…).
RA.0;MATERIAUX ET PIECES EN MATERIAUX;Raw or semi-finished materials used for machining or part fabrication.;Matériaux bruts ou semi-finis pour usinage, prototypage ou réparations.
RA.01;METAUX (MATERIAUX A USINER ET PIECES SUR CATALOGUE);Metal bars, sheets, and catalog parts in steel, aluminum, etc.;Métaux à usiner ou en pièces standards : aluminium, acier, laiton…
RA.02;METAUX NOBLES (MATERIAUX A USINER ET PIECES SUR CATALOGUE);Precious or specialty metals like gold, platinum, tantalum for specific uses.;Métaux nobles ou rares à usiner : or, platine, titane, tantale…
RA.03;PLASTIQUES (MATERIAUX A USINER ET PIECES SUR CATALOGUE);Machinable plastics: PTFE, PVC, PEEK, acrylics.;Plastiques techniques : PTFE, POM, PMMA, PVC, PEEK…
RA.04;CERAMIQUES  (MATERIAUX A USINER ET PIECES SUR CATALOGUE);Technical ceramics used in high-temperature or electrical applications.;Céramiques techniques : alumine, nitrure de bore, carbure de silicium…
RA.05;COMPOSITES  (MATERIAUX ET PIECES SUR CATALOGUE);Composite materials like fiberglass, carbon fiber, or resin-impregnated sheets.;Matériaux composites : fibre de carbone, fibre de verre, stratifiés.
RA.06;MATERIAUX ORGANIQUES AUTRES QUE PLASTIQUES  (MATERIAUX ET PIECES SUR CATALOGUE);Organic workshop materials like wood, cork, or leather for prototyping or maintenance.;Matériaux organiques non plastiques : bois, liège, cuir utilisés en atelier.
RA.1;ATELIER : MACHINES-OUTILS;Workshop equipment including machine tools like lathes, milling machines, and drilling units for shaping materials;Équipements d’atelier comprenant des machines-outils telles que tours, fraiseuses et perceuses pour usinage de matériaux
RA.11;MACHINES-OUTILS A COMMANDE NUMERIQUE;CNC machine tools such as automated milling machines and lathes controlled via computer interface;Machines-outils à commande numérique comme fraiseuses et tours automatisés pilotés par ordinateur
RA.12;ACCESSOIRES POUR MACHINES-OUTILS A COMMANDE NUMERIQUE;Tool holders, chucks, probes, and other accessories for CNC machines;Porte-outils, mandrins, palpeurs et autres accessoires pour machines CNC
RA.13;MACHINES-OUTILS CONVENTIONNELLES;Manual machine tools like traditional lathes, milling machines, and drill presses;Machines-outils classiques manuelles comme les tours, fraiseuses et perceuses à colonne
RA.14;ACCESSOIRES POUR MACHINES-OUTILS CONVENTIONNELLES;Vices, rotary tables, and clamping tools used with manual machining equipment;Étau, plateaux tournants et systèmes de serrage pour machines-outils manuelles
RA.15;CONSOMMABLES POUR MACHINES-OUTILS (CN ET CONVENTIONNELLES);Cutting fluids, end mills, inserts, and other replaceable parts for machining;Liquides de coupe, fraises, plaquettes et autres consommables pour l’usinage
RA.16;OUTILLAGE D'ATELIER NON PORTATIF;Stationary workshop tools like bench grinders, drill presses, and mounted saws;Outils d’atelier fixes comme tourets, perceuses à colonne et scies sur table
RA.17;CONSOMMABLES POUR OUTILLAGE D'ATELIER NON PORTATIF;Grinding wheels, belts, and blades used with stationary tools;Meules, bandes abrasives et lames pour outillage fixe d’atelier
RA.18;MACHINES 3D (IMPRIMANTES et SCANERS 3D,…) ET ACCESSOIRES;3D printers, 3D scanners, and related accessories for additive manufacturing and modeling;Imprimantes 3D, scanners 3D et accessoires pour fabrication additive et modélisation
RA.19;CONSOMMABLES POUR MACHINES 3D;Filaments, resins, and powders used by 3D printers and scanners;Filaments, résines et poudres consommées par les imprimantes et scanners 3D
RA.2;PETIT OUTILLAGE ET CONSOMMABLES D'ATELIER;Small hand tools and supplies like pliers, screwdrivers, adhesives, and abrasives;Petit outillage et fournitures comme pinces, tournevis, colles et abrasifs
RA.21;OUTILS ELECTROPORTATIFS ET ACCESSOIRES;Handheld power tools such as drills, grinders, and saws with their accessories;Outils électroportatifs comme perceuses, meuleuses et scies avec leurs accessoires
RA.22;OUTILS A MAIN NON ELECTROPORTATIFS;Manual hand tools like hammers, wrenches, and screwdrivers;Outils à main non électriques comme marteaux, clés et tournevis
RA.23;QUINCAILLERIE - AUTRES FOURNITURES D'ATELIER DIVERSES;Fasteners, hinges, lubricants, and miscellaneous workshop hardware;Visserie, charnières, lubrifiants et autres fournitures diverses d’atelier
RA.3;AMENAGEMENT D'ATELIER;Workshop layout equipment including benches, storage units, and safety stations;Équipements d’aménagement d’atelier comme établis, rangements et postes de sécurité
RA.31;J;[Incomplete entry – no description possible];[Entrée incomplète – description impossible]
RA.32;RANGEMENTS D'ATELIER;Cabinets, tool chests, wall storage systems for organizing workshop tools and materials;Armoires, coffres à outils, rangements muraux pour organiser outils et matériaux
RA.33;AMENAGEMENTS D'ATELIER;Benches, lighting, anti-fatigue mats, and other setup elements improving workspaces;Établis, éclairages, tapis antifatigue et autres éléments pour aménager les espaces de travail
RA.4;AUTRES GROS EQUIPEMENTS MECANIQUES;Large mechanical devices like compressors, generators, or hydraulic presses;Gros équipements mécaniques tels que compresseurs, groupes électrogènes ou presses hydrauliques
RA.41;PONT ROULANTS ET CHARIOTS ELEVATEURS (HORS BATIMENTS);Overhead cranes and forklifts used for lifting and moving heavy loads outdoors;Ponts roulants et chariots élévateurs pour la manutention de charges lourdes hors bâtiments
RA.42;AUTRES EQUIPEMENTS MECANIQUES SPECIAUX;Specialized mechanical equipment such as vibratory separators or industrial centrifuges;Équipements mécaniques spéciaux comme des séparateurs vibrants ou centrifugeuses industrielles
RB;AUTOMATIQUE : EQUIPEMENTS DE MAQUETTES DE MISE EN SITUATION OU DE PROTOTYPAGE;Equipment for functional mockups or prototypes in automation, e.g., for testing control systems;Équipements pour maquettes fonctionnelles ou prototypes en automatique, comme les bancs de test de systèmes de commande
RB.0;AUTOMATIQUE : MAQUETTES ET EQUIPEMENTS DE MAQUETTES;Mockups and associated equipment for simulating automated systems;Maquettes et équipements associés pour la simulation de systèmes automatisés
